bubble_sort;;
10000 0.095000;;
20000 0.540000;;
30000 1.365000;;
40000 2.604000;;
50000 4.068000;;
60000 6.037000;;
70000 8.290000;;
10000 0.038000;;selectionSort
20000 0.179000;;
30000 0.364000;;
40000 0.630000;;
50000 0.975000;;
60000 1.407000;;
70000 1.891000;;
10000 0.026000;;insertionSort
20000 0.102000;;
30000 0.231000;;
40000 0.418000;;
50000 0.651000;;
60000 0.914000;;
70000 1.258000;;
10000 0.001000;;combsort
20000 0.001000;;
30000 0.001000;;
40000 0.002000;;
50000 0.002000;;
60000 0.003000;;
70000 0.005000;;
10000 0.000000;;countingSort
20000 0.000000;;
30000 0.000000;;
40000 0.000000;;
50000 0.000000;;
60000 0.001000;;
70000 0.001000;;
10000 0.000000;;shellSort
20000 0.001000;;
30000 0.002000;;
40000 0.004000;;
50000 0.005000;;
60000 0.005000;;
70000 0.008000;;
